id,time_taken
14040,"[datetime.timedelta(seconds=993, microseconds=454707)]"
14046,[]
14058,[]
14080,[]
14083,[]
14089,[]
14084,[]
14088,"[datetime.timedelta(seconds=655, microseconds=789880)]"
14085,[]
14086,[]
14093,"[datetime.timedelta(seconds=655, microseconds=789880)]"
14095,[]
14096,[]
14098,[]
14099,[]
14100,[]
14102,[]
14104,[]
14105,[]
14109,[]
14110,[]
14111,[]
14112,[]
14113,[]
14114,[]
14115,[]
14116,[]
14119,[]
14242,[]
14244,[]
14247,[]
14264,[]
14284,[]
14285,[]
14292,[]
14321,[]
14327,[]
14328,[]
14334,[]
14339,[]
14340,[]
14342,[]
14343,[]
14344,[]
14369,[]
14620,[]
14611,[]
14608,[]
14453,[]
14602,[]
14600,[]
14642,[]
14648,[]
14650,[]
14698,[]
15755,[]
15855,[]
15757,[]
17030,[]
16963,[]
17182,[]
16948,[]
17183,[]
16947,[]
17272,[]
17283,"[datetime.timedelta(seconds=67, microseconds=548817)]"
17409,[]
30139,[]
30282,"[datetime.timedelta(seconds=20, microseconds=422215)]"
30255,"[datetime.timedelta(seconds=36, microseconds=840102), datetime.timedelta(seconds=51, microseconds=956787), datetime.timedelta(seconds=8, microseconds=634141)]"
30053,[]
23102,[]
27808,[]
28955,[]
23730,[]
27605,[]
27604,[]
29900,[]
28854,[]
23101,[]
23100,[]
20305,[]
23645,[]
23099,[]
28818,[]
23103,[]
28988,[]
27971,[]
29993,"[datetime.timedelta(seconds=767, microseconds=766693), datetime.timedelta(seconds=9, microseconds=496152), datetime.timedelta(seconds=8, microseconds=282406)]"
27809,[]
27637,[]
28003,[]
23104,[]
29011,[]
29012,[]
28820,[]
28822,[]
29297,[]
29063,[]
27825,[]
28326,[]
28024,[]
28461,[]
28332,"[datetime.timedelta(days=371, seconds=34902, microseconds=837849)]"
27807,"[datetime.timedelta(days=363, seconds=75414, microseconds=103772)]"
28334,"[datetime.timedelta(seconds=5, microseconds=327483)]"
27805,[]
29986,[]
30154,[]
17895,[]
28932,[]
17475,[]
20273,[]
17483,[]
27857,[]
28308,[]
17411,[]
28336,[]
17490,[]
27989,[]
23343,[]
28022,[]
28023,[]
20330,[]
28029,[]
29887,[]
28335,[]
30120,[]
28319,[]
24450,[]
24594,[]
30556,[]
28016,[]
17476,[]
17474,[]
17417,[]
28317,[]
27942,[]
21378,[]
27826,[]
27827,[]
28021,[]
28402,[]
27849,[]
27848,[]
27847,[]
27703,[]
28584,[]
20760,[]
17439,[]
17484,[]
17532,"[datetime.timedelta(seconds=13, microseconds=318445)]"
18440,[]
20296,[]
20304,[]
20313,[]
20314,[]
20315,[]
20317,[]
23131,[]
20909,[]
27941,[]
27936,[]
27940,[]
21457,[]
21456,[]
21407,"[datetime.timedelta(seconds=178, microseconds=956192)]"
21436,[]
30554,[]
21441,[]
21439,[]
30484,[]
21440,[]
21777,[]
21816,[]
22192,[]
22860,[]
22925,[]
23077,[]
23227,[]
23238,"[datetime.timedelta(seconds=166, microseconds=674001), datetime.timedelta(seconds=162, microseconds=994013), datetime.timedelta(seconds=497, microseconds=506193), datetime.timedelta(seconds=19, microseconds=496121), datetime.timedelta(seconds=211, microseconds=520964)]"
23297,"[datetime.timedelta(seconds=79, microseconds=115710)]"
23314,[]
23321,[]
23341,"[datetime.timedelta(seconds=64, microseconds=802924)]"
23342,"[datetime.timedelta(seconds=115, microseconds=641334), datetime.timedelta(seconds=452, microseconds=774806)]"
23688,[]
23411,[]
23593,[]
23643,[]
23742,[]
23646,[]
23684,[]
23769,[]
23802,[]
23903,"[datetime.timedelta(seconds=91, microseconds=97726), datetime.timedelta(seconds=27, microseconds=300503)]"
24109,[]
23936,[]
24092,"[datetime.timedelta(seconds=133, microseconds=427927), datetime.timedelta(seconds=429, microseconds=19086), datetime.timedelta(seconds=19, microseconds=942612), datetime.timedelta(seconds=25, microseconds=739723), datetime.timedelta(seconds=69, microseconds=819298), datetime.timedelta(seconds=4, microseconds=940715)]"
25761,[]
25692,[]
24273,[]
24216,"[datetime.timedelta(seconds=64, microseconds=561528)]"
24219,"[datetime.timedelta(seconds=226, microseconds=986734), datetime.timedelta(seconds=51, microseconds=43567), datetime.timedelta(seconds=7, microseconds=55865), datetime.timedelta(seconds=472, microseconds=632341), datetime.timedelta(seconds=11, microseconds=643169)]"
