id,parseerror_distances,not_parseerror_distances
26484,"[0, 0]","[57, 8963, 67, 0, 4463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26384,[],[735]
26421,[],[]
26699,[],[]
26409,[],"[160, 108, 103, 196, 139, 210, 188, 110, 117, 114, 112, 140, 157, 580, 516]"
26434,[],"[0, 16, 16]"
27398,[],"[0, 0, 0, 6, 6, 2566, 2566, 0, 2566, 2571, 0]"
26485,"[173, 3, 12, 14, 3, 9, 11, 7, 6, 7, 14, 9, 1, 7, 1, 9, 9, 9, 7, 18, 7, 2, 41, 123, 10, 11, 20, 9, 16, 8, 11, 7, 8, 24, 11, 7, 17, 14, 17, 28, 7, 6, 50, 30, 7, 9, 8, 7, 31, 8, 1, 7, 7, 24, 7, 7, 9, 11, 3, 1, 2, 9, 14, 9, 34, 13, 429, 10, 11, 11, 1, 1, 9, 1, 27, 11, 2, 1, 0, 7, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2079, 0, 0]"
27067,"[7, 7, 7, 7, 7, 7, 7, 7, 19, 7, 7, 14, 7, 7, 11, 7, 7, 19]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 11424, 0, 0, 0, 0, 11424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11424, 11424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11424, 11424, 0, 0, 11424, 11424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27500,[],[]
26579,"[0, 83, 236, 72, 118, 73, 0, 10, 14, 89, 2, 2]","[0, 0, 6, 202, 97, 27, 1, 1, 1, 2, 2, 2239, 1874, 1136, 0, 0, 4786, 54]"
26580,"[0, 83, 236, 72, 118, 73, 0, 10, 14, 89, 2, 2]","[0, 0, 6, 202, 97, 27, 1, 1, 1, 2, 2, 2239, 1874, 1136, 0, 0, 4786, 54]"
26701,[],"[160, 103, 196, 0, 137, 210, 0, 190, 109, 115, 115, 112, 140, 157, 515, 749, 743, 88, 88]"
26715,"[0, 83, 236, 72, 118, 73, 0, 10, 14, 89, 2, 2]","[0, 0, 6, 202, 97, 27, 1, 1, 1, 2, 2, 2239, 1874, 1136, 0, 0, 4786, 0, 54, 45, 45, 33, 39, 48, 51, 54, 45, 39, 45, 48, 33, 36, 138, 114]"
26747,"[10, 0, 0, 0, 7403, 0, 3254, 53, 22, 38, 7, 26, 1, 85, 62, 114, 258, 259, 0, 0, 12, 0, 6383, 0, 0, 2, 0, 1, 57, 23, 51, 4, 253, 254, 0, 51, 0, 0, 1086, 85, 79, 1878, 0, 11194, 68, 68, 1, 7944]","[0, 0, 10738, 0, 7404, 0, 7416, 7416, 4096, 2, 135, 0, 95, 0, 0, 84, 0, 1, 1, 95, 11378, 1, 13, 0, 6580, 0, 1010, 13, 1, 0, 0, 0, 0, 0, 1973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9918, 0, 0, 0]"
26811,[],"[0, 0, 0, 0, 0, 0, 0, 1407]"
27000,[5],"[16, 162, 133, 158, 103, 196, 137, 210, 188, 109, 115, 115, 112, 140, 157, 613, 664, 108, 16, 104, 806, 766, 0, 110, 108, 0, 90, 16, 79, 90]"
26853,[153],[]
