id,parseerror_distances,not_parseerror_distances
bPS5AFpxE3Jji9gQn,"[2, 31, 1, 9, 1, 1, 1, 1, 2, 2, 2, 1]","[17, 32, 17, 17, 11, 22, 0, 2, 2, 21, 14, 6, 15, 11, 8, 36, 70, 8, 24, 8, 24, 13, 14, 11, 73, 41, 8, 8, 14, 8, 21, 29, 8, 51, 8, 7, 6, 36, 8, 26, 21, 8, 88, 60, 5, 7, 25, 8, 18, 8, 2, 8, 7, 8, 55, 40, 42, 1, 53, 8, 9, 33, 34, 9]"
SzTSdQjmZw3g3TxFS,[],[7]
ux2D2jehwad6qwMDA,[],[]
FEt5y4p3KBYtvuFPp,"[27, 1, 8, 3, 64, 1]","[21, 0, 19, 0, 13, 2, 17, 18, 36, 20, 22, 22, 0, 0, 54, 15, 9, 34, 26, 69, 9, 9, 2]"
PjtzPSLM57jJJZExo,"[18, 4]","[24, 13, 1, 4, 12, 18, 22, 40, 18, 15, 14, 11, 58, 65, 1, 6, 6, 7, 7, 38, 47, 7, 6, 65]"
TyHwxSntn9EmBHi8w,"[18, 4, 4]","[23, 18, 1, 2, 0, 20, 4, 26, 68, 11, 0, 1, 100, 9, 7, 1, 89, 79, 54, 54, 64, 57]"
2mahNHhQNvDCe7YFg,[],[]
v5P4hWHQqmxvhRJDN,[],[]
dXm7JkkD9uDtSoobv,[],"[13, 27, 8, 16, 24, 26, 24, 6, 7, 9, 36, 44, 2, 100, 7, 15, 7, 141, 12, 4, 7, 111, 25, 14, 7, 29, 26, 3, 25, 78, 37, 7, 7, 2, 2, 8, 69, 7, 15, 2, 7, 14, 33, 6, 32, 6, 14, 11]"
w8RwCzjbXF27xvJkM,[],"[0, 83]"
